75	3911.1
75.5	3955.5
76	4050.2
76.5	4046.1
77	3984.6
77.5	3956.1
78	4070.5
78.5	3995
79	4208.1
79.5	4017.7
80	3853.8
80.5	3992.2
81	4090.5
81.5	4105
82	4005.3
82.5	3957.4
83	3958.7
83.5	3928.5
84	3915.9
84.5	4081.3
85	4023
85.5	3916.1
86	3940.3
86.5	3927.9
87	3849.2
87.5	3970.3
88	3937.8
88.5	3909.8
89	4009
89.5	3902.2
90	3923.7
90.5	3979.6
91	3927
91.5	3902.1
92	3909.3
92.5	3899.7
93	3742.1
93.5	3788.2
94	3670.4
94.5	3742.6
95	3602.9
95.5	3668.8
96	3556
96.5	3592.2
97	3560.6
97.5	3418.4
98	3439
98.5	3330.7
99	3171.7
99.5	3223.1
100	3144.7
100.5	3140.2
101	2923.8
101.5	2733.7
102	2802.6
102.5	2718.3
103	2426.9
103.5	2265.6
104	2242.4
104.5	2171.9
105	2073.3
105.5	2031.4
106	1891.5
106.5	1577.5
107	1721.3
107.5	1486.1
108	1586.1
108.5	1468.5
109	1187.8
109.5	1200.3
110	1086.3
110.5	1048.2
111	997.85
111.5	945.55
112	710.32
112.5	851.02
113	666.16
113.5	693.28
114	477.52
114.5	371.94
115	483.14
115.5	489.18
116	376.34
116.5	532.09
117	325.87
117.5	361.52
118	369.19
118.5	315.2
119	292.1
119.5	277.31
120	258.62
120.5	260.03
121	226.22
121.5	120.2
122	170.27
122.5	233.62
123	181.55
123.5	319.67
124	224.37
124.5	289.61
125	213.29
125.5	218.93
126	190.98
126.5	278.93
127	109.49
127.5	242.13
128	358.63
128.5	218.79
129	166.03
129.5	181.24
130	239.66
130.5	213.46
131	208.77
131.5	169.02
132	132.23
132.5	285.73
133	169.73
133.5	199.38
134	212.77
134.5	356.26
135	147.77
135.5	273.64
136	276.27
136.5	260.81
137	210.84
137.5	195.29
138	249.91
138.5	130.82
139	128.13
139.5	232.93
140	177.05
140.5	217.21
141	179.16
141.5	119.14
142	204.89
142.5	142.66
143	166.65
143.5	120.94
144	290.02
144.5	220.91
145	171.13

